date,Rollo de Justicia, Palacio Fotificado de Castildelgado, Castillo de Belorado, Ruinas de la Iglesia de San FÃ©lix de Villafranca Montes de Oca, Monasterio de San Juan de Ortega, Sierra de Atapuerca, Cueva del Silo de Ibeas de Juarros, Cueva Mayor Portalon de entrada de Ibeas de Juarros, Cueva Mayor Principal SalÃ³n del Coro de Ibeas de Juarros, Casco histÃ³rico de la ciudad de Burgos, Archivo Historico Provicial de Burgos, Biblioteca PÃºblica de Burgos, Castillo de Burgos, Muralla de Burgos, Torre de Albillos de Burgos, Cartuja de Santa MarÃ­a de Miraflores de Burgos, Casa del CordÃ³n de Burgos, Casa de Miranda de Burgos, Museo de Burgos, Conjunto del Monasterio de San Juan de Burgos, Monasterio de San Juan de Burgos, Iglesia de San Lesmes de Burgos, Puente de San Lesmes de Burgos, Arco de San Juan de Burgos, Consulado del Mar de Burgos, Hospital de la ConcepciÃ³n de Burgos, Hospital del Rey de Burgos, Catedral de Santa MarÃ­a de Burgos, Iglesia de San Esteban de Burgos, Iglesia de San Gil de Burgos, Palacio del Paseo de la Isla, Puerta de San Esteban de Burgos, Real Monasterio de San AgustÃ­n de Burgos, Teatro Principal de Burgos, Crucero de Tardajos, Calzada de la Plata en Castilla y LeÃ³n de Astorga, La ciudad de Astorga, Murallas de Astorga, Ayuntamiento de Astorga, Catedral de Santa MarÃ­a de Astorga, ErgÃ¡stula Romana de Atorga, Palacio Episcopal de Astorga, Iglesia Parroquial de la AsunciÃ³n de Rabanal del Camino, La Villa de Molinaseca, El Casco Antiguo de Ponferrada, Castillo de El Temple de Ponferrada, Yacimiento arqueolÃ³gico de La Edrada, El Castro de la Ventosa de Pieros, Zona Antigua de Villafranca del Bierzo, Castillo de Villafranca del Bierzo
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,49,8,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,29,0,0,0,0,41,0,0,0,0,0,0,0,0
2010-07-01,52,0,0,0,0,26,0,0,0,0,0,0,44,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,35,0,48,0,0,67,0,0,0,0,0,0,0,44
2010-08-01,100,0,0,0,0,74,0,0,0,0,0,0,50,10,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,31,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,53,0,0,0,0,0,0,54,0,0,0,0,0,46,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,63,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,43,0,0,0,0,0,0,33,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,35,0,0,85,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,48,0,0,0,0,0,0,40,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,17,0,18,0,0,0,0,0,0,0,0,0,0,26
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,15,0,0,0,0,0,0,7,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,33
2011-02-01,0,0,0,0,0,35,0,0,0,0,0,0,37,7,0,0,0,0,18,0,36,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,48,0,0,31,0,0,0,0,0,0,0,0
2011-03-01,0,0,0,0,0,74,0,0,0,0,0,0,30,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,77,0,0,26,0,0,0,0,0,0,0,27
